,Squad,# Pl_x,90s_x,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,3-Jan,PPA,CrsPA,Prog,# Pl_y,90s_y,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
17,mx Mexico,21,3.0,1097,1450,75.7,19868,7015,483,570,84.7,482,588,82.0,117,222,52.7,1,2.7,3.4,-1.7,25,95,19,10,77,21,3.0,2,41,15,36.6,13.67,5.0,0.05,0.13,21.9,6,0,0,3.3,3.3,0.08,-1.3,-1.3
18,ma Morocco,19,3.0,896,1142,78.5,15415,5802,450,504,89.3,310,367,84.5,107,202,53.0,3,2.0,1.0,1.0,17,42,10,3,37,19,3.0,4,24,8,33.3,8.0,2.67,0.17,0.5,20.9,2,0,0,2.4,2.4,0.1,1.6,1.6
19,nl Netherlands,19,4.0,1900,2292,82.9,31495,10832,949,1068,88.9,743,848,87.6,167,280,59.6,6,2.5,3.0,3.5,29,147,23,4,111,19,4.0,8,36,14,38.9,9.0,3.5,0.22,0.57,16.1,0,0,0,4.0,4.0,0.12,4.0,4.0
20,pl Poland,21,4.0,1169,1531,76.4,21855,8533,495,564,87.8,499,580,86.0,139,289,48.1,1,1.8,2.3,-0.8,22,80,15,8,50,21,4.0,3,29,5,17.2,7.25,1.25,0.07,0.4,15.5,1,1,2,4.5,2.9,0.11,-1.5,-0.9
21,pt Portugal,24,3.0,1630,1926,84.6,28874,8517,806,870,92.6,600,682,88.0,189,286,66.1,4,2.5,2.3,1.5,27,106,24,9,90,24,3.0,6,37,12,32.4,12.33,4.0,0.11,0.33,22.1,1,2,2,4.6,3.0,0.08,1.4,1.0
22,qa Qatar,20,3.0,1129,1407,80.2,19847,6322,519,580,89.5,426,494,86.2,135,228,59.2,1,1.2,1.6,-0.2,16,61,13,6,49,20,3.0,1,20,6,30.0,6.67,2.0,0.05,0.17,21.5,0,0,0,1.4,1.4,0.07,-0.4,-0.4
23,sa Saudi Arabia,23,3.0,870,1205,72.2,14844,5828,419,486,86.2,316,411,76.9,95,205,46.3,2,1.4,1.4,0.6,18,70,23,5,76,23,3.0,3,28,8,28.6,9.33,2.67,0.11,0.38,18.7,2,0,1,3.0,2.1,0.08,0.0,0.9
24,sn Senegal,20,4.0,1310,1687,77.7,22903,7970,610,681,89.6,491,581,84.5,151,305,49.5,2,2.5,2.8,-0.5,36,93,29,10,81,20,4.0,5,51,12,23.5,12.75,3.0,0.08,0.33,18.5,2,1,1,4.6,3.8,0.07,0.4,0.2
25,rs Serbia,22,3.0,1181,1514,78.0,20846,7345,501,573,87.4,531,628,84.6,110,225,48.9,4,2.9,2.8,1.1,25,86,21,8,73,22,3.0,5,32,9,28.1,10.67,3.0,0.16,0.56,16.5,0,0,0,3.4,3.4,0.11,1.6,1.6
26,es Spain,19,3.0,2573,2869,89.7,45035,11444,1038,1114,93.2,1301,1394,93.3,185,242,76.4,5,3.2,3.6,1.8,28,189,34,5,114,19,3.0,9,35,15,42.9,11.67,5.0,0.23,0.53,19.0,1,1,1,5.2,4.4,0.13,3.8,3.6
27,ch Switzerland,23,3.0,1221,1526,80.0,21545,7202,530,600,88.3,558,653,85.5,110,196,56.1,4,3.3,3.3,0.7,21,83,16,2,91,23,3.0,4,27,10,37.0,9.0,3.33,0.15,0.4,15.1,1,0,0,4.4,4.4,0.17,-0.4,-0.4
28,tn Tunisia,21,3.0,998,1352,73.8,19453,7520,354,425,83.3,523,611,85.6,114,255,44.7,1,1.9,1.8,-0.9,22,89,20,4,88,21,3.0,1,32,8,25.0,10.67,2.67,0.03,0.13,18.0,0,0,0,2.3,2.3,0.07,-1.3,-1.3
29,us United States,20,4.0,1816,2234,81.3,32313,10479,800,895,89.4,815,927,87.9,160,281,56.9,3,3.5,3.3,-0.5,37,130,30,6,120,20,4.0,3,45,13,28.9,11.25,3.25,0.07,0.23,17.1,1,0,0,4.1,4.1,0.09,-1.1,-1.1
30,uy Uruguay,19,3.0,1155,1498,77.1,20435,7194,527,623,84.6,457,563,81.2,136,222,61.3,1,2.8,2.7,-1.8,25,100,22,6,88,19,3.0,2,33,10,30.3,11.0,3.33,0.06,0.2,19.2,1,0,0,3.7,3.7,0.12,-1.7,-1.7
31,wls Wales,18,3.0,1044,1366,76.4,20874,7567,380,451,84.3,486,578,84.1,155,261,59.4,0,1.8,1.3,-1.8,18,62,12,5,65,18,3.0,1,23,6,26.1,7.67,2.0,0.0,0.0,20.4,1,1,1,2.7,1.9,0.09,-1.7,-1.9
